Part Number,Part Name,Description,Unit Price,Total Price
MP1,ESP32,Wi-Fi Microprocessor,$10,$10
B1,Urgenex Lipo Battery (2x),Battery for Arm and Remote,$27,$27
M1,Digital Servo Motor (4x),Servos for Joints,$45,$45
M2,Stepper Motor,Stepper for Base,$13,$13
L1,Load Cell,Load Cell for Grasper,$12,$12
A1,Amplifier (4x),Amplifier for Load Cell,$7,$7
D1,Stepper Driver (3x),Driver for Stepper,$8,$8
C1,Hex Coupler 5mm (4x),Hex Coupler for Base,$8,$8
T1,Threaded Inserts 4mm (100x),Threaded Inserts for Arm,$10,$10
BC1,Buck Converter 4mm (2x),Buck Converter for 7.4-5v,$8,$8
L1,5v Voltage Regulator (25x),Voltage Regulator for ESP32,$8,$8
PCB1,Printed Circuit Board,PCB for Electrical Components,~$10,~$10
S1,Boat Rocker Switch,Power Switch,$5,$5
